,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000,Free,0.0,Everyone,Art & Design
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,Art & Design
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25.0,50000000,Free,0.0,Teen,Art & Design
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art & Design;Creativity
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art & Design
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000,Free,0.0,Everyone,Art & Design
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000,Free,0.0,Everyone,Art & Design
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,Art & Design
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art & Design;Creativity
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000,Free,0.0,Everyone,Art & Design
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000,Free,0.0,Everyone,Art & Design
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,10000000,Free,0.0,Teen,Art & Design
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,Art & Design
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,Art & Design
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,Art & Design
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,Art & Design
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,Art & Design
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000,Free,0.0,Everyone,Art & Design
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,Art & Design
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,Art & Design
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design
23,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,Art & Design
24,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design
25,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity
26,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design
27,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design
28,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design
29,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design
30,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design
31,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,Art & Design
32,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,Art & Design
33,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design
34,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design
35,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000,Free,0.0,Everyone,Art & Design;Creativity
36,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000,Free,0.0,Everyone,Art & Design
37,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design
38,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000,Free,0.0,Everyone,Art & Design
39,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000,Free,0.0,Everyone,Art & Design
40,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity
41,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000,Free,0.0,Everyone,Art & Design
42,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0.0,Everyone,Art & Design
43,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000,Free,0.0,Everyone,Art & Design
44,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design
45,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design
46,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000,Free,0.0,Everyone,Auto & Vehicles
47,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000,Free,0.0,Everyone,Auto & Vehicles
48,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,100000,Free,0.0,Everyone,Auto & Vehicles
49,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000,Free,0.0,Everyone,Auto & Vehicles
50,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000,Free,0.0,Everyone,Auto & Vehicles
51,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,Auto & Vehicles
52,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles
53,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,Auto & Vehicles
54,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.201,100000,Free,0.0,Everyone,Auto & Vehicles
55,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles
56,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles
57,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles
58,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles
59,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles
60,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles
61,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles
62,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles
63,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles
64,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000,Free,0.0,Everyone,Auto & Vehicles
65,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000,Free,0.0,Everyone,Auto & Vehicles
66,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0.0,Teen,Auto & Vehicles
67,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000,Free,0.0,Everyone,Auto & Vehicles
68,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles
69,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles
70,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles
71,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles
72,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000,Free,0.0,Everyone,Auto & Vehicles
73,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000,Free,0.0,Everyone,Auto & Vehicles
74,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000,Free,0.0,Everyone,Auto & Vehicles
75,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000,Free,0.0,Everyone,Auto & Vehicles
76,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles
77,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000,Free,0.0,Everyone,Auto & Vehicles
78,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles
79,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles
80,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles
81,SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000,Free,0.0,Everyone,Auto & Vehicles
82,auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000,Free,0.0,Everyone,Auto & Vehicles
83,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000,Free,0.0,Everyone,Auto & Vehicles
84,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000,Free,0.0,Everyone,Auto & Vehicles
85,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles
86,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles
87,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000,Free,0.0,Everyone,Beauty
88,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000,Free,0.0,Everyone,Beauty
89,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty
90,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty
91,Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty
92,Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty
93,Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty
94,Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty
95,Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000,Free,0.0,Everyone,Beauty
96,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000,Free,0.0,Everyone,Beauty
97,Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty
98,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000,Free,0.0,Teen,Beauty
99,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty
100,Photo Editor 2018,BEAUTY,4.5,134,17.0,10000,Free,0.0,Everyone,Beauty
101,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty
102,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty
103,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty
104,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty
105,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,1000000,Free,0.0,Everyone,Beauty
106,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000,Free,0.0,Everyone,Beauty
107,Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty
108,Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000,Free,0.0,Everyone,Beauty
109,Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty
110,Discover Color,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty
111,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty
112,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty
113,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty
114,Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000,Free,0.0,Everyone,Beauty
115,Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty
116,Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty
117,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference
118,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference
119,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference
120,Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference
